id,party,gender,first_name,last_name,occupation,age,political_experience,policy_strength_ban_abortion_after_6_weeks,policy_strength_legalize_medical_marijuana,policy_strength_increase_medicare_funding,policy_strength_ban_alcohol_sales_sundays,in_committee
141,Democrat,Female,Janice,Grable,Business,57,8,-3,3,3,-2,True
105,Republican,Male,Scott,Campbell,Business,37,8,3,-1,-2,3,True
22,Democrat,Male,Larry,Pettway,Career Politician,62,14,0,3,0,-3,True
93,Republican,Male,Keith,French,Scientist,48,8,3,-3,-3,3,True
115,Democrat,Male,Antoine,Lecompte,Career Politician,45,11,-3,2,2,-2,True
88,Republican,Male,Donald,Merritt,Lawyer,65,12,3,-3,-3,1,True
64,Republican,Female,Mary,Davis,Lawyer,46,10,0,-3,-3,1,False
122,Republican,Male,Oliver,Garcia,Lawyer,51,5,1,-3,-3,1,True
21,Republican,Male,Alphonso,Rubenstein,Educator,54,7,0,-3,-2,3,True
5,Republican,Male,Frank,Duff,Career Politician,68,7,3,-3,-3,3,True
57,Republican,Female,Crystal,Olenick,Career Politician,63,12,0,-3,-3,2,True
