id,party,gender,first_name,last_name,occupation,age,political_experience,policy_strength_ban_abortion_after_6_weeks,policy_strength_legalize_medical_marijuana,policy_strength_increase_medicare_funding,policy_strength_ban_alcohol_sales_sundays,in_committee
130,Republican,Male,Robert,Goudreau,Educator,65,6,3,-2,-2,3,True
42,Democrat,Male,Keith,Perdomo,Lawyer,36,8,0,3,3,-2,True
2,Democrat,Male,Jack,Hopkins,Career Politician,65,1,-3,2,1,-3,True
141,Democrat,Female,Janice,Grable,Business,57,8,-3,3,3,-2,True
134,Republican,Male,Carlos,Bacon,Lawyer,58,5,1,-3,-2,0,True
36,Democrat,Female,Yukiko,Jones,Educator,52,9,-3,3,3,-2,True
18,Democrat,Female,Hilda,Lyons,Lawyer,44,5,-3,3,3,1,True
59,Democrat,Female,Tracy,Spurling,Educator,51,11,-2,3,3,-2,True
96,Republican,Male,Ryan,Kelsey,Lawyer,59,11,2,-3,-3,2,True
58,Republican,Male,Lesley,Simmons,Business,53,5,3,-3,-3,3,True
