id,party,gender,first_name,last_name,occupation,age,political_experience,policy_strength_ban_abortion_after_6_weeks,policy_strength_legalize_medical_marijuana,policy_strength_increase_medicare_funding,policy_strength_ban_alcohol_sales_sundays,in_committee
18,Democrat,Female,Hilda,Lyons,Lawyer,44,5,-3,3,3,1,False
19,Republican,Male,Pablo,Petersen,Scientist,67,1,3,-3,-3,2,False
23,Republican,Male,Robert,Yeoman,Lawyer,63,11,3,-2,-2,3,False
79,Republican,Male,Timothy,Shaw,Business,35,9,2,-1,-3,2,False
141,Democrat,Female,Janice,Grable,Business,57,8,-3,3,3,-2,True
29,Republican,Male,Andre,Henderson,Scientist,61,3,3,-1,0,3,True
58,Republican,Male,Lesley,Simmons,Business,53,5,3,-3,-3,3,True
36,Democrat,Female,Yukiko,Jones,Educator,52,9,-3,3,3,-2,True
134,Republican,Male,Carlos,Bacon,Lawyer,58,5,1,-3,-2,0,False
119,Democrat,Female,Denise,Jacobsen,Lawyer,47,11,-3,1,2,-3,True
141,Democrat,Female,Janice,Grable,Business,57,8,-3,3,3,-2,True
122,Republican,Male,Oliver,Garcia,Lawyer,51,5,1,-3,-3,1,True
50,Democrat,Male,Jeremy,Scott,Lawyer,54,11,-2,3,1,-3,True
105,Republican,Male,Scott,Campbell,Business,37,8,3,-1,-2,3,True
72,Republican,Male,Frank,Hilton,Business,54,10,3,-3,-3,2,True
70,Republican,Male,Luis,Cool,Career Politician,61,10,3,-1,-2,3,True
