id,party,gender,first_name,last_name,occupation,age,political_experience,policy_strength_ban_abortion_after_6_weeks,policy_strength_legalize_medical_marijuana,policy_strength_increase_medicare_funding,policy_strength_ban_alcohol_sales_sundays,in_committee
81,Democrat,Female,Susan,Anderson,Business,69,10,-3,3,3,-3,True
140,Republican,Female,Diana,Grimsley,Career Politician,65,5,1,-1,-2,2,True
12,Republican,Male,David,Reinschmidt,Career Politician,71,9,3,-2,-3,3,True
105,Republican,Male,Scott,Campbell,Business,37,8,3,-1,-2,3,False
65,Republican,Male,Larry,Dufrene,Career Politician,53,8,2,-3,-3,3,False
35,Republican,Male,Johnnie,Barwick,Career Politician,59,10,2,-2,-3,3,True
13,Democrat,Male,David,Collins,Business,67,9,-3,3,3,-3,False
70,Republican,Male,Luis,Cool,Career Politician,61,10,3,-1,-2,3,True
115,Democrat,Male,Antoine,Lecompte,Career Politician,45,11,-3,2,2,-2,True
50,Democrat,Male,Jeremy,Scott,Lawyer,54,11,-2,3,1,-3,True
15,Republican,Female,Andrea,Dufour,Business,57,5,2,-3,-3,2,False
30,Democrat,Female,Elizabeth,Charron,Career Politician,66,8,-3,3,3,-1,True
42,Democrat,Male,Keith,Perdomo,Lawyer,36,8,0,3,3,-2,True
2,Democrat,Male,Jack,Hopkins,Career Politician,65,1,-3,2,1,-3,True
