id,party,gender,first_name,last_name,occupation,age,political_experience,policy_strength_ban_abortion_after_6_weeks,policy_strength_legalize_medical_marijuana,policy_strength_increase_medicare_funding,policy_strength_ban_alcohol_sales_sundays,in_committee
80,Democrat,Female,Debra,Thomas,Scientist,51,9,-3,0,2,-3,True
94,Republican,Male,Robert,Chugg,Business,72,11,2,-1,-2,2,True
3,Democrat,Female,Amy,Dueber,Lawyer,69,10,-2,3,3,0,True
88,Republican,Male,Donald,Merritt,Lawyer,65,12,3,-3,-3,1,False
97,Democrat,Female,Rosemary,Howard,Business,62,14,-2,2,1,-1,False
98,Democrat,Female,Debbie,Brennan,Lawyer,50,7,-3,3,3,0,True
122,Republican,Male,Oliver,Garcia,Lawyer,51,5,1,-3,-3,1,True
0,Republican,Female,Jane,Smith,Career Politician,64,5,2,-3,-2,1,True
141,Democrat,Female,Janice,Grable,Business,57,8,-3,3,3,-2,True
12,Republican,Male,David,Reinschmidt,Career Politician,71,9,3,-2,-3,3,True
23,Republican,Male,Robert,Yeoman,Lawyer,63,11,3,-2,-2,3,True
105,Republican,Male,Scott,Campbell,Business,37,8,3,-1,-2,3,True
