id,party,gender,first_name,last_name,occupation,age,political_experience,policy_strength_ban_abortion_after_6_weeks,policy_strength_legalize_medical_marijuana,policy_strength_increase_medicare_funding,policy_strength_ban_alcohol_sales_sundays,in_committee
70,Republican,Male,Luis,Cool,Career Politician,61,10,3,-1,-2,3,True
81,Democrat,Female,Susan,Anderson,Business,69,10,-3,3,3,-3,True
42,Democrat,Male,Keith,Perdomo,Lawyer,36,8,0,3,3,-2,True
92,Democrat,Female,Vera,Schlossberg,Career Politician,64,10,-3,3,1,-3,True
50,Democrat,Male,Jeremy,Scott,Lawyer,54,11,-2,3,1,-3,True
134,Republican,Male,Carlos,Bacon,Lawyer,58,5,1,-3,-2,0,True
115,Democrat,Male,Antoine,Lecompte,Career Politician,45,11,-3,2,2,-2,True
86,Democrat,Male,Dennis,Walsh,Career Politician,48,10,-2,1,3,-1,True
17,Republican,Female,Shanita,Mcgloster,Career Politician,68,10,3,-1,-1,3,True
2,Democrat,Male,Jack,Hopkins,Career Politician,65,1,-3,2,1,-3,True
