id,party,gender,first_name,last_name,occupation,age,political_experience,policy_strength_ban_abortion_after_6_weeks,policy_strength_legalize_medical_marijuana,policy_strength_increase_medicare_funding,policy_strength_ban_alcohol_sales_sundays,in_committee
42,Democrat,Male,Keith,Perdomo,Lawyer,36,8,0,3,3,-2,True
2,Democrat,Male,Jack,Hopkins,Career Politician,65,1,-3,2,1,-3,True
122,Republican,Male,Oliver,Garcia,Lawyer,51,5,1,-3,-3,1,True
72,Republican,Male,Frank,Hilton,Business,54,10,3,-3,-3,2,False
105,Republican,Male,Scott,Campbell,Business,37,8,3,-1,-2,3,True
119,Democrat,Female,Denise,Jacobsen,Lawyer,47,11,-3,1,2,-3,True
78,Democrat,Male,Raymond,Allen,Business,59,10,-3,3,3,0,True
20,Democrat,Male,Juan,Mackey,Business,63,8,-2,2,2,-3,True
140,Republican,Female,Diana,Grimsley,Career Politician,65,5,1,-1,-2,2,True
65,Republican,Male,Larry,Dufrene,Career Politician,53,8,2,-3,-3,3,True
141,Democrat,Female,Janice,Grable,Business,57,8,-3,3,3,-2,True
