id,party,gender,first_name,last_name,occupation,age,political_experience,policy_strength_ban_abortion_after_6_weeks,policy_strength_legalize_medical_marijuana,policy_strength_increase_medicare_funding,policy_strength_ban_alcohol_sales_sundays,in_committee
65,Republican,Male,Larry,Dufrene,Career Politician,53,8,2,-3,-3,3,True
105,Republican,Male,Scott,Campbell,Business,37,8,3,-1,-2,3,True
115,Democrat,Male,Antoine,Lecompte,Career Politician,45,11,-3,2,2,-2,False
50,Democrat,Male,Jeremy,Scott,Lawyer,54,11,-2,3,1,-3,True
92,Democrat,Female,Vera,Schlossberg,Career Politician,64,10,-3,3,1,-3,True
116,Republican,Male,Mark,Terry,Lawyer,42,7,3,-3,-3,2,True
58,Republican,Male,Lesley,Simmons,Business,53,5,3,-3,-3,3,True
23,Republican,Male,Robert,Yeoman,Lawyer,63,11,3,-2,-2,3,True
70,Republican,Male,Luis,Cool,Career Politician,61,10,3,-1,-2,3,True
29,Republican,Male,Andre,Henderson,Scientist,61,3,3,-1,0,3,False
93,Republican,Male,Keith,French,Scientist,48,8,3,-3,-3,3,True
119,Democrat,Female,Denise,Jacobsen,Lawyer,47,11,-3,1,2,-3,True
