id,party,gender,first_name,last_name,occupation,age,political_experience,policy_strength_ban_abortion_after_6_weeks,policy_strength_legalize_medical_marijuana,policy_strength_increase_medicare_funding,policy_strength_ban_alcohol_sales_sundays,in_committee
93,Republican,Male,Keith,French,Scientist,48,8,3,-3,-3,3,True
73,Democrat,Female,Jill,Brunson,Career Politician,65,10,-3,0,2,-3,True
12,Republican,Male,David,Reinschmidt,Career Politician,71,9,3,-2,-3,3,False
6,Democrat,Female,Janine,Vasquez,Lawyer,49,13,0,3,2,-3,True
134,Republican,Male,Carlos,Bacon,Lawyer,58,5,1,-3,-2,0,False
72,Republican,Male,Frank,Hilton,Business,54,10,3,-3,-3,2,True
64,Republican,Female,Mary,Davis,Lawyer,46,10,0,-3,-3,1,True
102,Republican,Male,Jeremy,Bennett,Doctor,50,11,3,0,-3,3,True
54,Republican,Male,John,Martinez,Career Politician,69,4,1,-1,-3,2,False
135,Democrat,Male,Alonzo,Carlson,Lawyer,59,7,-1,2,2,-3,False
33,Republican,Male,Dana,Reynolds,Business,63,8,3,0,-1,3,False
11,Republican,Male,James,Green,Business,72,10,3,-2,-1,3,True
119,Democrat,Female,Denise,Jacobsen,Lawyer,47,11,-3,1,2,-3,True
99,Democrat,Female,Michelle,Williams,Lawyer,59,6,-3,2,1,-3,True
78,Democrat,Male,Raymond,Allen,Business,59,10,-3,3,3,0,True
